AR032012.pdf,Others,NO,None,NA,NA,NA
ASHP_shortage_guide09.pdf,Others,NO,None,NA,NA,NA
AUTO-SALES-20140929-MOSL-SU-PG004.pdf,Others,NO,None,NA,NA,NA
Apna Supply Chain Weekly_Milind Shahane_05.02.15.pdf,Others,NO,None,NA,NA,NA
Ascension-Industries-Modular-Design.pdf,Others,NO,None,NA,NA,NA
Ashiana 2011-2012_Annual_Report.pdf,Others,NO,None,NA,NA,NA
Ashiana Housing - Concall -  Feb2010.pdf,Others,NO,None,NA,NA,NA
Astral Poly Technik - EI.pdf,Others,NO,None,NA,NA,NA
Audited Financial Results_30.06.2014.pdf,Others,NO,None,NA,NA,NA
Avant Garde Wealth Mgmt - Quarterly letter - 1306.pdf,Others,NO,None,NA,NA,NA
Avant Garde Wealth Mgmt - Quarterly letter - 1309.pdf,Others,NO,None,NA,NA,NA
Avendus- Housing Financials Concerns on competition are overdone.pdf,Others,NO,None,NA,NA,NA
Award2007_Winners.pdf,Others,NO,None,NA,NA,NA
BAFL MAy 2016 Concall Transcripts.pdf,Others,NO,None,NA,NA,NA
BAFL QIP - List of allottees-11062015.pdf,Others,NO,None,NA,NA,NA
BEML Lt.pdf,Others,NO,None,NA,NA,NA
BHEL 2QFY18 Outlook Review [CR] .pdf,sparkcapital,NO,Bharat Heavy Electricals Ltd.,83,SELL,SRIRAM KUMAR;Pagel
BHEL-20150303-MOSL-CU-PG018 [CR].pdf,MotilalOswal,NO,Bharat Heavy Electricals Ltd.,INR320,Buy,NA
BHEL-2QFY16 Review [CR].pdf,sparkcapital,NO,Bharat Heavy Electricals Ltd.,137,Sell,Booey
BHFC-20171108-MOSL-RU-PG010 [CR].pdf,MotilalOswal,NO,Bharat Forge Ltd.,INR844,Buy,Krishnakumar Srinivasan;Eaton
BHFC_Q1FY17ResultUpdate_7 Aug 16 [CR].pdf,jmfl,NO,Bharat Forge Ltd.,`860,HOLD,Shyam Sundar Sriram
BJAUT-20150527-MOSL-DR-PG026.pdf,Others,NO,None,NA,NA,NA
BLS_International-_2QFY18_-_HDFC_sec [CR].pdf,hdfcsec,NO,BLS International Services Ltd.,300,,Amit Chandra
BNK_051616_25242 [CR].pdf,bksec,NO,,865,BUY,PAT
BNK_090215_195059 [CR].pdf,bksec,NO,Gujarat Fluorochemicals Ltd.,865,BUY,Ranjit Cirumalla
BNK_SONA@IN_021715_161235 [CR].pdf,bksec,NO,,62,,NA
BOAML-BhagMilkhaBhag.pdf,Others,NO,None,NA,NA,NA
BOAML-StagnatingIndicators.pdf,Others,NO,None,NA,NA,NA
BP Equities- National Buildings Construction Corporation Ltd NBCC- Short note_11th April  2014 [CR].pdf,BP Wealth MANAGEMENT Pvt. Ltd,NO,NBCC (India) Ltd.,232,BUY,Kochi
BP Wealth- Kitex Garments Limited [CR].pdf,BP Wealth MANAGEMENT Pvt. Ltd,NO,Kitex Garments Ltd.,580,BUY,NA
BPCL BofA ML [CR].pdf,baml,NO,Petronet LNG Ltd.;Oil India Ltd.;Oil & Natural Gas Corporation Ltd.;Hindustan Petroleum Corporation Ltd.;Bharat Petroleum Corporation Ltd.;Cairn India Ltd. (Amalgamated);Indian Oil Corporation Ltd.;Reliance Industries Ltd.,Rs601.00,Neutral,Bonny light-Dubai
BUDGET_PREVIEW_FY14-JUN-14-EDEL.pdf,Others,NO,None,NA,NA,NA
BULLS & BEARS - India Valuations Handbook - 20151103-MOSL.pdf,Others,NO,None,NA,NA,NA
Balkrishna Inds quant.pdf,Others,NO,None,NA,NA,NA
Balkrishna Industries Limited - A R 2012-13.pdf,Others,NO,None,NA,NA,NA
Banks_NBFCs_-_4QFY17_Results_Preview_-_HDFC_sec.pdf,Others,NO,None,NA,NA,NA
Banswara Syntex Ltd.-Results.pdf,Others,NO,None,NA,NA,NA
Beta Drugs Lt.pdf,Others,NO,None,NA,NA,NA
Bharti Infratel Buyback.pdf,Others,NO,None,NA,NA,NA
Bigbloc Const.  Investor presentation.pdf,Others,NO,None,NA,NA,NA
Biocon - BAML [CR].pdf,baml,NO,Cipla Ltd.;Lupin Ltd.;Aurobindo Pharma Ltd.;Sun Pharmaceutical Industries Ltd.;Dr. Reddys Laboratories Ltd.;Biocon Ltd.;Cadila Healthcare Ltd.;Glenmark Pharmaceuticals Ltd.;Apollo Hospitals Enterprise Ltd.,1115,BUY,Manoj Garg;Ashish Kumar
Bits---pieces-5-Feb-2010---Golden-Tiger.pdf,Others,NO,None,NA,NA,NA
BoAML on Cummins [CR].pdf,baml,NO,Container Corporation Of India Ltd.;Shree Cement Ltd.;Tata Chemicals Ltd.;Oberoi Realty Ltd.;Voltas Ltd.;Ansal Properties & Infrastructure Ltd.;Shree Renuka Sugars Ltd.;Grasim Industries Ltd.;Ultratech Cement Ltd.;Cummins India Ltd.;Havells India Ltd.;Ambuja Cements Ltd.;Exide Industries Ltd.;Omaxe Ltd.;Spicejet Ltd.;Sintex Industries Ltd.;Bajaj Hindusthan Sugar Ltd.;Aditya Birla Nuvo Ltd. - (Amalgamated);ACC Ltd.;Fortis Healthcare Ltd.;DLF Ltd.;Brigade Enterprises Ltd.;Housing Development & Infrastructure Ltd.;Nagarjuna Fertilizers & Chemicals Ltd. (Merged);Balrampur Chini Mills Ltd.;Jet Airways (India) Ltd.;The India Cements Ltd.;Unitech Ltd.;Sobha Ltd.;Jain Irrigation Systems Ltd.;Motherson Sumi Systems Ltd.;Welspun Corp Ltd.;Anant Raj Ltd.;Indiabulls Real Estate Ltd.;Jindal Saw Ltd.;Jaypee Infratech Ltd.;Chambal Fertilisers & Chemicals Ltd.;Coromandel International Ltd.,Rs600.00,Underperform,Sono
BofA ML- Industrials - India - Q1FY17 preview - Order flows  profits looking up  execution challenges to persist.pdf,Others,NO,None,NA,NA,NA
Britannia_CallUpdate_050115 [CR].pdf,indiainfoline,NO,Britannia Industries Ltd.,Rs2059,BUY,Ann;Marie;Vanmala Nagwekar;Vanmala Nagwekar
BuffettWhartonspeech.pdf,Others,NO,None,NA,NA,NA
Building Materials - Crude and USDINR double whammy.pdf,Others,NO,None,NA,NA,NA
CALCNTUT.pdf,Others,NO,None,NA,NA,NA
CEAT_Investor Presentation_Q2FY14.pdf,Others,NO,None,NA,NA,NA
CEM-20160202-MOSL-SU-PG006.pdf,Others,NO,None,NA,NA,NA
CEMENT_-_SECTOR_UPDATE-JUL-16-EDEL1.pdf,Others,NO,None,NA,NA,NA
CG Power - Elara- [CR].pdf,elaracapital,NO,CG Power & Industrial Solutions Ltd.,85,Buy,Ibn
CITUNIBA_20120806 [CR].pdf,icicisecurities,NO,,60,Buy,Kajal Gandhi
CJ July 2013.pdf,Others,NO,None,NA,NA,NA
CLSA - Greed & Fear (Jokowi update) - 21082014.pdf,Others,NO,None,NA,NA,NA
CLSA - Greed & Fear (Subsidy focus)-25092014.pdf,Others,NO,None,NA,NA,NA
CLSA G & F 2015.pdf,Others,NO,None,NA,NA,NA
COROMANDEL - PL [CR].pdf,plindia,NO,Coromandel International Ltd.,Rs240,,PAT;El-Nino
CPBrochure.pdf,Others,NO,None,NA,NA,NA
CRG 1QFY16 Review [CR].pdf,sparkcapital,NO,,167.,Sell,Crompton Greaves;Crompton Greaves
CRG-20140903-MOSL-CU-PG014 [CR].pdf,MotilalOswal,NO,Inditalia Refcon Ltd.,INR271,Buy,Crompton Greaves;Nirav Vasa
CRISIL-Research_ier-report-infinite-2014.pdf,Others,NO,None,NA,NA,NA
CSFEb15.pdf,Others,NO,None,NA,NA,NA
CYL-RR-210417 [CR].pdf,idbicapital,NO,Cyient Ltd.,Rs598,BUY,Urmil Shah;Cyient;Cyient
Cadila Healthcare_Company update_Nov 29  2017 [CR].pdf,sparkcapital,NO,Cadila Healthcare Ltd.,505,BUY,Cadila;HARITH;Pagel
Career Launcher Investment Kit.pdf,Others,NO,None,NA,NA,NA
Case_Study_8.pdf,Others,NO,None,NA,NA,NA
Castrol+India+-+4QCY11+B&K [CR].pdf,bksec,NO,Castrol India Ltd.,550,Outperformer,Batlivala;Hest
Cement Sector - Monthly Update - 28 Mar 18.pdf,Others,NO,None,NA,NA,NA
Centrum Wealth - L G  Balakrishnan  Bros  Ltd - Initiating Coverage - 30 June 2015 [CR].pdf,centrum,NO,LG Balakrishnan & Brothers Ltd.,662,BUY,Rolon;MotoCorp;Siddhartha Khemka
Cera Presentation.pdf,Others,NO,None,NA,NA,NA
Cera Sanitaryware Ltd  (2).pdf,Others,NO,None,NA,NA,NA
Charter_International.pdf,Others,NO,None,NA,NA,NA
Cheap+Coal+Does+Not+Benefit+The+Indian+People.pdf,Others,NO,None,NA,NA,NA
ChinaSec_24May06.pdf,Others,NO,None,NA,NA,NA
Cholamandalam Investment Q1FY16 Result Update [CR].pdf,edelweissfin,NO,,,BUY,Sandeep
Cipla_Q1FY18_results [CR].pdf,icicisecurities,NO,Cipla Ltd.,Rs479,REDUCE,PAT
Citi - India Budget.pdf,Others,NO,None,NA,NA,NA
Citi- Cadila Healthcare (CADI.BO) - Successful Moraiya Inspection- A Key Bottleneck Lifted  Focus Shifts to Execution [CR].pdf,citi,NO,Cadila Healthcare Ltd.,Rs410.00,Buy,Rapamune;Vivek Agrawal
Citi- Petronet LNG (PLNG.BO) - 3Q - EBITDA Expectedly Soft  But Volumes Surprise Positively [CR].pdf,citi,NO,Petronet LNG Ltd.,Rs442.00,Buy,Dahej;Dahej;Dahej;Dahe;Sohini Banerjee
City Union Bank - Initiating Coverage [CR].pdf,Edelweiss Securities Limited,NO,City Union Bank Ltd.,Rs.60,BUY,NA
Colgate Palmolive (India) (COLG.BO) - Citi [CR].pdf,citi,NO,Colgate-Palmolive (India) Ltd.,Rs850.00,Sell,Patanjali
CompanyValuationPPT.pdf,Others,NO,None,NA,NA,NA
Conference_Call_102355_20120807[1].pdf,Others,NO,None,NA,NA,NA
Consolidated Financials Results_Q3FY17.pdf,Others,NO,None,NA,NA,NA
ConsumerStaples-17-11-11-PL.pdf,Others,NO,None,NA,NA,NA
Conviction Ideas  NDTV [CR].pdf,capstocksindia,NO,New Delhi Television Ltd.,110,,Prannoy Roy;Radhika Roy
Conviction Ideas - Raymond [CR].pdf,capstocksindia,NO,Raymond Ltd.,Rs.460,,Raymond Woollen;Lala Juggilal;Lala Kailashpat Singhania;Raymond Woollen Mill;Raymond;Raymond;Vijaypat Singhania;Raymond;Raymond
Conviction Ideas- Goodricke Group [CR].pdf,capstocksindia,NO,,175,Buy,NA
Copy of 10 LUXE Cost Sheet.pdf,Others,NO,None,NA,NA,NA
Coromandel Conference_Call_106395_20160727.pdf,Others,NO,None,NA,NA,NA
Corona Audit_Report_2011-12.pdf,Others,NO,None,NA,NA,NA
Corporate Presentation - January 2015.pdf,Others,NO,None,NA,NA,NA
Corporate%20Governance.pdf,Others,NO,None,NA,NA,NA
Cover Page - EBook Sourajit Aiyer.pdf,Others,NO,None,NA,NA,NA
Cyient Analyst day_final [CR].pdf,sparkcapital,NO,Cyient Ltd.,Rs.550.,ADD,Rangsons;Rangsons;Rangsons
D1CB4357_3750_41CF_BEE2_3E721A43C4A6_115002.pdf,Others,NO,None,NA,NA,NA
